torneo,fecha,home_team,away_team,home_score,away_score,elo_h,elo_a,lambda_h,lambda_a,p_home,p_draw,p_away,resultado,brier,logloss,rps
2018,2018-06-27,Serbia,Brazil,0,2,1770.0,2130.0,0.837,1.994,0.1491,0.2069,0.644,A,0.1917,0.44,0.0745
2018,2018-06-27,Switzerland,Costa Rica,2,2,1878.0,1743.0,1.52,1.098,0.4699,0.256,0.2741,D,0.8496,1.3627,0.148
2018,2018-06-28,Japan,Poland,0,1,1693.0,1830.0,1.095,1.524,0.2728,0.2557,0.4715,A,0.4191,0.7518,0.1769
2018,2018-06-28,Senegal,Colombia,0,1,1742.0,1927.0,1.033,1.615,0.2427,0.2483,0.509,A,0.3617,0.6753,0.15
2018,2018-06-28,Panama,Tunisia,1,2,1661.0,1653.0,1.304,1.279,0.3734,0.2649,0.3617,A,0.617,1.0169,0.2734
2018,2018-06-28,England,Belgium,0,1,1940.0,1929.0,1.309,1.275,0.3756,0.2648,0.3595,A,0.6214,1.023,0.2757
2018,2018-06-30,France,Argentina,4,3,1994.0,1983.0,1.309,1.275,0.3756,0.2648,0.3595,H,0.5892,0.9792,0.2596
2018,2018-06-30,Uruguay,Portugal,2,1,1876.0,2000.0,1.112,1.5,0.2812,0.2573,0.4614,H,0.7957,1.2685,0.3647
2018,2018-07-01,Russia,Spain,1,1,1684.0,2048.0,0.833,2.004,0.1473,0.2057,0.647,D,1.0712,1.5813,0.2202
2018,2018-07-01,Croatia,Denmark,1,1,1853.0,1841.0,1.311,1.273,0.3764,0.2648,0.3588,D,0.8109,1.3287,0.1352
2018,2018-07-02,Brazil,Mexico,2,0,2130.0,1858.0,1.793,0.93,0.5769,0.2302,0.1928,H,0.2692,0.5501,0.1081
2018,2018-07-02,Belgium,Japan,3,2,1929.0,1693.0,1.717,0.972,0.5489,0.2384,0.2127,H,0.3056,0.5998,0.1244
